Timer [== swing_coll_step_utofu (recv + aggregate)]: 43 us | Start: 1725472008189176 End: 1725472008189219
Timer [== swing_coll_step_utofu (wait isends)]: 66 us | Start: 1725472008189219 End: 1725472008189285
Timer [== swing_coll_step_utofu (profile writing)]: 3 us | Start: 1725472008189285 End: 1725472008189288
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008188518 End: 1725472008188519
Timer [== swing_coll_step_utofu (indexes calc)]: 9 us | Start: 1725472008188519 End: 1725472008188528
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008188528 End: 1725472008188534
Timer [== swing_coll_step_utofu (sends)]: 7 us | Start: 1725472008188534 End: 1725472008188541
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 20 us | Start: 1725472008188541 End: 1725472008188561
Timer [== swing_coll_step_utofu (recv + aggregate)]: 729 us | Start: 1725472008188561 End: 1725472008189290
Timer [== swing_coll_step_utofu (wait isends)]: 7 us | Start: 1725472008189290 End: 1725472008189297
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008189297 End: 1725472008189301
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008187946 End: 1725472008187947
Timer [== swing_coll_step_utofu (indexes calc)]: 11 us | Start: 1725472008187947 End: 1725472008187958
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008187958 End: 1725472008187964
Timer [== swing_coll_step_utofu (sends)]: 15 us | Start: 1725472008187964 End: 1725472008187979
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 19 us | Start: 1725472008187979 End: 1725472008187998
Timer [== swing_coll_step_utofu (recv + aggregate)]: 338 us | Start: 1725472008187998 End: 1725472008188336
Timer [== swing_coll_step_utofu (wait isends)]: 1110 us | Start: 1725472008188336 End: 1725472008189446
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008189446 End: 1725472008189450
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008188969 End: 1725472008188970
Timer [== swing_coll_step_utofu (indexes calc)]: 15 us | Start: 1725472008188970 End: 1725472008188985
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008188985 End: 1725472008188991
Timer [== swing_coll_step_utofu (sends)]: 5 us | Start: 1725472008188991 End: 1725472008188996
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 11 us | Start: 1725472008188996 End: 1725472008189007
Timer [== swing_coll_step_utofu (recv + aggregate)]: 463 us | Start: 1725472008189007 End: 1725472008189470
Timer [== swing_coll_step_utofu (wait isends)]: 8 us | Start: 1725472008189470 End: 1725472008189478
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008189478 End: 1725472008189482
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 7 us | Start: 1725472008189309 End: 1725472008189316
Timer [== swing_coll_step_utofu (indexes calc)]: 22 us | Start: 1725472008189316 End: 1725472008189338
Timer [== swing_coll_step_utofu (misc)]: 10 us | Start: 1725472008189338 End: 1725472008189348
Timer [== swing_coll_step_utofu (sends)]: 13 us | Start: 1725472008189348 End: 1725472008189361
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 7 us | Start: 1725472008189361 End: 1725472008189368
Timer [== swing_coll_step_utofu (recv + aggregate)]: 216 us | Start: 1725472008189368 End: 1725472008189584
Timer [== swing_coll_step_utofu (wait isends)]: 6 us | Start: 1725472008189584 End: 1725472008189590
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008189590 End: 1725472008189594
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 0 us | Start: 1725472008189329 End: 1725472008189329
Timer [== swing_coll_step_utofu (indexes calc)]: 18 us | Start: 1725472008189329 End: 1725472008189347
Timer [== swing_coll_step_utofu (misc)]: 11 us | Start: 1725472008189347 End: 1725472008189358
Timer [== swing_coll_step_utofu (sends)]: 6 us | Start: 1725472008189358 End: 1725472008189364
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 6 us | Start: 1725472008189364 End: 1725472008189370
Timer [== swing_coll_step_utofu (recv + aggregate)]: 134 us | Start: 1725472008189370 End: 1725472008189504
Timer [== swing_coll_step_utofu (wait isends)]: 110 us | Start: 1725472008189504 End: 1725472008189614
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008189614 End: 1725472008189618
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 6 us | Start: 1725472008189499 End: 1725472008189505
Timer [== swing_coll_step_utofu (indexes calc)]: 19 us | Start: 1725472008189505 End: 1725472008189524
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008189524 End: 1725472008189530
Timer [== swing_coll_step_utofu (sends)]: 6 us | Start: 1725472008189530 End: 1725472008189536
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 5 us | Start: 1725472008189536 End: 1725472008189541
Timer [== swing_coll_step_utofu (recv + aggregate)]: 70 us | Start: 1725472008189541 End: 1725472008189611
Timer [== swing_coll_step_utofu (wait isends)]: 38 us | Start: 1725472008189611 End: 1725472008189649
Timer [== swing_coll_step_utofu (profile writing)]: 5 us | Start: 1725472008189649 End: 1725472008189654
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008185451 End: 1725472008185452
Timer [== swing_coll_step_utofu (indexes calc)]: 10 us | Start: 1725472008185452 End: 1725472008185462
Timer [== swing_coll_step_utofu (misc)]: 5 us | Start: 1725472008185462 End: 1725472008185467
Timer [== swing_coll_step_utofu (sends)]: 9 us | Start: 1725472008185467 End: 1725472008185476
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 12 us | Start: 1725472008185476 End: 1725472008185488
Timer [== swing_coll_step_utofu (recv + aggregate)]: 4166 us | Start: 1725472008185488 End: 1725472008189654
Timer [== swing_coll_step_utofu (wait isends)]: 8 us | Start: 1725472008189654 End: 1725472008189662
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008189662 End: 1725472008189666
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008189308 End: 1725472008189309
Timer [== swing_coll_step_utofu (indexes calc)]: 20 us | Start: 1725472008189309 End: 1725472008189329
Timer [== swing_coll_step_utofu (misc)]: 13 us | Start: 1725472008189329 End: 1725472008189342
Timer [== swing_coll_step_utofu (sends)]: 6 us | Start: 1725472008189342 End: 1725472008189348
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 22 us | Start: 1725472008189348 End: 1725472008189370
Timer [== swing_coll_step_utofu (recv + aggregate)]: 260 us | Start: 1725472008189370 End: 1725472008189630
Timer [== swing_coll_step_utofu (wait isends)]: 129 us | Start: 1725472008189630 End: 1725472008189759
Timer [== swing_coll_step_utofu (profile writing)]: 3 us | Start: 1725472008189759 End: 1725472008189762
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008189640 End: 1725472008189641
Timer [== swing_coll_step_utofu (indexes calc)]: 14 us | Start: 1725472008189641 End: 1725472008189655
Timer [== swing_coll_step_utofu (misc)]: 10 us | Start: 1725472008189655 End: 1725472008189665
Timer [== swing_coll_step_utofu (sends)]: 11 us | Start: 1725472008189665 End: 1725472008189676
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 12 us | Start: 1725472008189676 End: 1725472008189688
Timer [== swing_coll_step_utofu (recv + aggregate)]: 203 us | Start: 1725472008189688 End: 1725472008189891
Timer [== swing_coll_step_utofu (wait isends)]: 5 us | Start: 1725472008189891 End: 1725472008189896
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008189896 End: 1725472008189900
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 0 us | Start: 1725472008189469 End: 1725472008189469
Timer [== swing_coll_step_utofu (indexes calc)]: 10 us | Start: 1725472008189469 End: 1725472008189479
Timer [== swing_coll_step_utofu (misc)]: 13 us | Start: 1725472008189479 End: 1725472008189492
Timer [== swing_coll_step_utofu (sends)]: 11 us | Start: 1725472008189492 End: 1725472008189503
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 28 us | Start: 1725472008189503 End: 1725472008189531
Timer [== swing_coll_step_utofu (recv + aggregate)]: 304 us | Start: 1725472008189531 End: 1725472008189835
Timer [== swing_coll_step_utofu (wait isends)]: 107 us | Start: 1725472008189835 End: 1725472008189942
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008189942 End: 1725472008189946
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008189691 End: 1725472008189692
Timer [== swing_coll_step_utofu (indexes calc)]: 22 us | Start: 1725472008189692 End: 1725472008189714
Timer [== swing_coll_step_utofu (misc)]: 7 us | Start: 1725472008189714 End: 1725472008189721
Timer [== swing_coll_step_utofu (sends)]: 6 us | Start: 1725472008189721 End: 1725472008189727
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 9 us | Start: 1725472008189727 End: 1725472008189736
Timer [== swing_coll_step_utofu (recv + aggregate)]: 227 us | Start: 1725472008189736 End: 1725472008189963
Timer [== swing_coll_step_utofu (wait isends)]: 5 us | Start: 1725472008189963 End: 1725472008189968
Timer [== swing_coll_step_utofu (profile writing)]: 3 us | Start: 1725472008189968 End: 1725472008189971
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008189627 End: 1725472008189628
Timer [== swing_coll_step_utofu (indexes calc)]: 9 us | Start: 1725472008189628 End: 1725472008189637
Timer [== swing_coll_step_utofu (misc)]: 12 us | Start: 1725472008189637 End: 1725472008189649
Timer [== swing_coll_step_utofu (sends)]: 13 us | Start: 1725472008189649 End: 1725472008189662
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 15 us | Start: 1725472008189662 End: 1725472008189677
Timer [== swing_coll_step_utofu (recv + aggregate)]: 408 us | Start: 1725472008189677 End: 1725472008190085
